index,HDD Capacity,Model Name,Model Number,Operating System,Processor Brand,Processor Generation,Processor Name,RAM,Screen Size,image_urls
49,1 TB,Pavilion,14–ba073TX,Windows 10 Home,Intel,7th Gen,Core i5,8 GB,14 inch,"rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuzz2jddem.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuzz2jddem.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuzz2jddem.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuurv4kesqh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuu6sgfqaes.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuutvfgfhpr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuhhq3tddz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuugdvykhf2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuuhepzzfph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3t1ocw0/computer/9/w/y/hp-pavilion-2-in-1-laptop-original-imaeuuuushmkgtyd.jpeg?q=70
"
50,1 TB,E 15,E5-575G,Windows 10 Home,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaetzpb4ufrbhsz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2c6du80/computer/h/c/e/acer-e-15-notebook-original-imaetp8jh4ghhkda.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaetp7ybfpn4apd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2p1ci80/computer/c/6/7/acer-es-15-notebook-original-imaer2fqqtpvmhhz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3yrfrk0/computer/z/s/r/acer-e-15-notebook-original-imaetp7kjj2rxwky.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3yrfrk0/computer/z/s/r/acer-e-15-notebook-original-imaetp8ghqwyehff.jpeg?q=70
"
51,1 TB,Inspiron 15-3567,15-3567,DOS,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j6zcwi80/computer/h/z/j/dell-inspiron-15-3567-laptop-original-imaexfr478ppzyvz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6zcwi80/computer/h/z/j/dell-inspiron-15-3567-laptop-original-imaexfr55ayb2myz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6zcwi80/computer/h/z/j/dell-inspiron-15-3567-laptop-original-imaexfr5gfg3uwan.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6zcwi80/computer/h/z/j/dell-inspiron-15-3567-laptop-original-imaexfr6kevhkjbq.jpeg?q=70
"
52,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
53,1 TB,15-AY516TX,ay516tx,DOS,Intel,6th Gen,Core i5,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j3agya80/computer/z/v/u/hp-15-ay516tx-notebook-original-imaeuf9enhfhhtag.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3agya80/computer/z/v/u/hp-15-ay516tx-notebook-original-imaeu8p8dzgxkvt2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3agya80/computer/z/v/u/hp-15-ay516tx-notebook-original-imaeu8p8hkdzvffw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j3agya80/computer/z/v/u/hp-15-ay516tx-notebook-original-imaeu8p8gjfzvc8n.jpeg?q=70
"
54,1 TB,Aspire E,E5-573,Linux,Intel,5th Gen,Core i5,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/9/j/k/acer-aspire-e-notebook-original-imaeckwyx4zf6yyf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/9/j/k/acer-aspire-e-notebook-original-imaeckwuz8tzeyj4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/9/j/k/acer-aspire-e-notebook-original-imaeckwuhjfczd3a.jpeg?q=70
"
55,1 TB,ES 15,E5-575G,Linux,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaakukysrfg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaadmh9ye6p.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2kr0y80/computer/a/y/e/acer-es-15-notebook-original-imaetwaafcwzhbjz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2kr0y80/computer/a/y/e/acer-es-15-notebook-original-imaetwaatwtwgzzg.jpeg?q=70
"
56,1 TB,X540LA-XX538T,X540LA-XX538T,Windows 10,Intel,5th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j1mggi80/computer/k/d/p/asus-x540sa-xx383d-notebook-original-imaetfd9gtcmyzhw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j1mggi80/computer/k/d/p/asus-x540sa-xx383d-notebook-original-imaesdvnd7v9zxwu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j1mggi80/computer/k/d/p/asus-x540sa-xx383d-notebook-original-imaetfdawcrjncue.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j1mggi80/computer/r/q/a/asus-x540la-xx538t-notebook-original-imaetfdbbxxs2fa3.jpeg?q=70
"
57,500 GB,ES1-131-C8RL,ES1-131-C8RL,Windows 10 Home,Intel,4th Gen,Celeron Dual Core,2 GB,11.6 inch,"rukminim1.flixcart.com/image/128/128/computer/h/3/k/acer-es1-131-c8rl-netbook-original-imaedf4wkyz9ry6a.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/h/3/k/acer-es1-131-c8rl-netbook-original-imaegtathdbbvttu.jpeg?q=70
"
58,500 GB,Probook,450 G1,Windows 7 Professional,Intel,4th Gen,Core i5,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8vy1e80/computer/e/u/w/hp-probook-business-laptop-original-imaeyqsez3zpd6ek.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8vy1e80/computer/e/u/w/hp-probook-business-laptop-original-imaeyqtx8quu6g3b.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8vy1e80/computer/e/u/w/hp-probook-business-laptop-original-imaeyqtxx2dwjz6m.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8vy1e80/computer/e/u/w/hp-probook-business-laptop-original-imaeyqtxjuqhc72e.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8vy1e80/computer/e/u/w/hp-probook-business-laptop-original-imaeyqtxdjqwqcmq.jpeg?q=70
"
59,32 GB,BravoWin 10K,WT19803W87DK,Windows 10,Intel,2nd Gen,Atom Quad Core,32 GB,10.1 inch,"rukminim1.flixcart.com/image/128/128/j5shoy80/computer/f/4/c/venturer-bravowin-10k-2-in-1-laptop-original-imaevyrrz8d2gr2g.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/computer/f/4/c/venturer-bravowin-10k-2-in-1-laptop-original-imaevyrrtrycqjpr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j5shoy80/computer/f/4/c/venturer-bravowin-10k-2-in-1-laptop-original-imaevyrsxzgbm7bm.jpeg?q=70
"
60,1 TB,S510UN-BQ151T(S510UN),S510UN-BQ151T,Windows 10,Intel,8th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp5tpbgbumf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6ggnd23cm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6yy54q7hf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6cjtd4ygb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8uiljk0/computer/f/9/h/asus-s510un-bq139t-s510un-thin-and-light-laptop-original-imaeyfp6sqa72tc3.jpeg?q=70
"
61,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
62,32 GB,BravoWin 10K,WT19803W97DK,Windows 10,Intel,2nd Gen,Atom Quad Core,32 GB,10.1 inch,"rukminim1.flixcart.com/image/128/128/j6pctjk0/computer/q/h/a/venturer-bravowin-10k-2-in-1-laptop-original-imaevpv2r7xyrh4s.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6pctjk0/computer/q/h/a/venturer-bravowin-10k-2-in-1-laptop-original-imaewn68thhspunr.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6pctjk0/computer/q/h/a/venturer-bravowin-10k-2-in-1-laptop-original-imaevpv3jjkanfa9.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j6pctjk0/computer/q/h/a/venturer-bravowin-10k-2-in-1-laptop-original-imaevpv3jjzf2pud.jpeg?q=70
"
63,500 GB,Inspiron,3542,Windows 8.1,Intel,4th Gen,Pentium Dual Core,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/p/y/u/dell-inspiron-notebook-original-imadwbsgaz8suu2t.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/3/d/4/dell-inspiron-notebook-original-imadwbsghaa8fegc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/b/z/dell-inspiron-notebook-original-imadwbsgffj5ndwz.jpeg?q=70
"
64,500 GB,Aspire R11,R3-131T-p4aa,Windows 10 Home,Intel,4th Gen,Pentium Quad Core,4 GB,11.6 inch,"rukminim1.flixcart.com/image/128/128/computer/u/p/9/acer-aspire-r11-2-in-1-laptop-original-imaegtbnsevqvand.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/p/9/acer-aspire-r11-ultrabook-original-imaebxz7anjg6g8f.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/p/9/acer-aspire-r11-ultrabook-original-imaee9yjsmkvrqbp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/p/9/acer-aspire-r11-ultrabook-original-imaee9ygjqbpqmta.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/p/9/acer-aspire-r11-ultrabook-original-imaeb8bnyggwbnm4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/u/p/9/acer-aspire-r11-ultrabook-original-imaeb8bnpxugc45d.jpeg?q=70
"
65,1 TB,R558UQ-DM513D,DM513D,DOS,Intel,7th Gen,Core i5,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/a/c/r/asus-r558uq-dm513d-notebook-original-imaezuzssgsakpfe.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/a/c/r/asus-r558uq-dm513d-notebook-original-imaezqk4xguynra6.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/a/c/r/asus-r558uq-dm513d-notebook-original-imaezqk46gk4fmt2.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/a/c/r/asus-r558uq-dm513d-notebook-original-imaezqk47ddf9zzy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/a/c/r/asus-r558uq-dm513d-notebook-original-imaezqk4nebkhcay.jpeg?q=70
"
66,1 TB,Pavilion,13-u133tu,Windows 10 Home,Intel,7th Gen,Core i5,8 GB,13.3 inch,"rukminim1.flixcart.com/image/128/128/computer/x/d/h/hp-pavilion-2-in-1-laptop-original-imaera4zz6cqnduf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/x/d/h/hp-pavilion-2-in-1-laptop-original-imaera4zz6cqnduf.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/x/d/h/hp-pavilion-2-in-1-laptop-original-imaera4zvczbxhwp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/y/v/g/hp-pavilion-2-in-1-laptop-original-imaera4z7xd8wfxn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/x/d/h/hp-pavilion-2-in-1-laptop-original-imaera4vzzyv772k.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/h/y/a/hp-pavilion-2-in-1-laptop-original-imaera4zsggh3hwg.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/x/d/h/hp-pavilion-2-in-1-laptop-original-imaera4zjjgswzu2.jpeg?q=70
"
67,1 TB,Inspiron,5567,Windows 10 Home,Intel,7th Gen,Core i7,16 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j80icnk0/computer/x/x/7/dell-inspiron-laptop-original-imaexfx5pjzek33c.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j80icnk0/computer/x/x/7/dell-inspiron-laptop-original-imaexfwkjxuszeqh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j80icnk0/computer/x/x/7/dell-inspiron-laptop-original-imaefsykv5wgtfns.jpeg?q=70
"
68,1 TB,310,310,DOS,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/v/h/m/lenovo-310-notebook-original-imaesy67v75ttrwa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/v/h/m/lenovo-310-notebook-original-imaesy68z6qpqzkz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/v/h/m/lenovo-310-notebook-original-imaesy68pcujybyh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/v/h/m/lenovo-310-notebook-original-imaesy68bbhhxyzt.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2z1fgw0/computer/v/h/m/lenovo-310-notebook-original-imaesq5yuzyjtmgh.jpeg?q=70
"
69,500 GB,Inspiron,3555,Windows 10 Home,AMD,6th Gen,APU Quad Core E2,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaemgjfv74kvbmx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaemgjf9z4y5qrn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcrfhukqfad.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcrjhutxyqa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcrahfmpgpw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcrjgayre3g.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcr4g3phaxj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcr4mbakdsk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcrgwkyyeue.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/f/a/v/dell-inspiron-notebook-original-imaehhcr5bssw7dk.jpeg?q=70
"
70,500 GB,Lifebook,Lifebook A555,DOS,Intel,5th Gen,Core i3,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/c/p/p/fujitsu-lifebook-notebook-original-imaegym6cwchmccm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/p/p/fujitsu-lifebook-notebook-original-imaegym6bhz3fkrd.jpeg?q=70
"
71,500 GB,One 14,Z1402-32BJ,Linux,Intel,5th Gen,Core i3,4 GB,14 inch,"rukminim1.flixcart.com/image/128/128/computer/h/y/k/acer-one-14-notebook-original-imaeexn6mdbbszqa.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/h/y/k/acer-one-14-notebook-original-imaeexn6vwprz9ju.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/h/y/k/acer-one-14-notebook-original-imaeexn6qckndy5a.jpeg?q=70
"
72,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
73,500 GB,Vostro,3558,Windows 8 Pro,Intel,4th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/q/s/b/dell-vostro-notebook-original-imaeewhk63my2fs3.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/q/s/b/dell-vostro-notebook-original-imaeewhk4xund7wh.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/q/s/b/dell-vostro-notebook-original-imaeewhkffhgzgpg.jpeg?q=70
"
74,1 TB,Envy 15,15-w102tx,Windows 10 Home,Intel,6th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/r/e/x/hp-envy15-notebook-original-imaefrzk8mbm92pd.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/e/x/hp-envy15-notebook-original-imaeetdrwyshyz5q.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/e/x/hp-envy15-notebook-original-imaeetdsfauvkbaw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/e/x/hp-envy15-notebook-original-imaeetdsmzgfuhhn.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/r/e/x/hp-envy15-notebook-original-imaeetdstpygzxhd.jpeg?q=70
"
75,1 TB,B50-70,59427747,Windows 8 Pro,Intel,4th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/t/2/s/lenovo-b50-70-notebook-original-imadxweeqmwvmnwy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/t/2/s/lenovo-b50-70-notebook-original-imadxweezbkduud9.jpeg?q=70
"
76,1 TB,Y50-70,Y50-70,Windows 8 Pro,Intel,4th Gen,Core i7,16 GB,15.6 inch,
77,500 GB,240 g5,240 G5,DOS,Intel,6th Gen,Core i3,4 GB,14 inch,"rukminim1.flixcart.com/image/128/128/j2aqxzk0/computer/f/y/a/hp-240-g5-notebook-original-imaet7f3sxbdhhtx.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2aqxzk0/computer/f/y/a/hp-240-g5-notebook-original-imaet7f4kmtt6z3g.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j2aqxzk0/computer/f/y/a/hp-240-g5-notebook-original-imaet7f5kdchq7dk.jpeg?q=70
"
78,1 TB,Inspiron,5559,Windows 10 Home,Intel,6th Gen,Core i5,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/c/h/z/dell-original-imaehqnzhhqtjh5u.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/h/z/dell-original-imaehqnze3rmdzgq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/h/z/dell-original-imaehqnztvtqhkgp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/h/z/dell-original-imaehqnzkz3ratx3.jpeg?q=70
"
79,1 TB,Inspiron,7548,Windows 10 Home,Intel,5th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j5723680/computer/c/n/f/dell-inspiron-notebook-original-imaevxzffrrwacbw.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/n/f/dell-inspiron-notebook-original-imaentpy82zdaqgm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/n/f/dell-inspiron-notebook-original-imaentpymfpjfu8u.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/n/f/dell-inspiron-notebook-original-imaentpyymwgxuvq.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/c/n/f/dell-inspiron-notebook-original-imaentpyzycxt4zq.jpeg?q=70
"
80,1 TB,R558UQ-DM1106D,R558UQ-DM1106DR558U,DOS,Intel,7th Gen,Core i7,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/r/4/r/asus-r558uq-dm513d-laptop-original-imaexbtgjhrzdffc.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/r/4/r/asus-r558uq-dm513d-laptop-original-imaexmrchx28a76n.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/r/4/r/asus-r558uq-dm513d-laptop-original-imaexbthwywpbjkb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7hxmkw0/computer/r/4/r/asus-r558uq-dm513d-laptop-original-imaexbthabnhkpsy.jpeg?q=70
"
81,1 TB,X541UA,X541UA-DM883D,DOS,Intel,6th Gen,Core i3,4 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j45wn0w0/computer/k/y/q/asus-x541ua-notebook-original-imaesp2j2fqrfy2j.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j45wn0w0/computer/k/y/q/asus-x541ua-notebook-original-imaeqhgnswyrrpgy.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j45wn0w0/computer/k/y/q/asus-x541ua-notebook-original-imaeswtwp8v54f6n.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j45wn0w0/computer/k/y/q/asus-x541ua-notebook-original-imaeshmzhazjxqfj.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j45wn0w0/computer/k/y/q/asus-x541ua-notebook-original-imaethfhszkuguxv.jpeg?q=70
"
82,1 TB,V15 Nitro,VN7-591G,Windows 10 Home,Intel,4th Gen,Core i7,12 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/computer/z/2/m/acer-v15-nitro-notebook-original-imaezmagfhmtgw9w.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/w/8/s/acer-v15-nitro-notebook-original-imaezmaghkxhj6hm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/w/8/s/acer-v15-nitro-notebook-original-imaezmahdgpkawej.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/w/8/s/acer-v15-nitro-notebook-original-imaezmagtyphezcu.jpeg?q=70
rukminim1.flixcart.com/image/128/128/computer/w/8/s/acer-v15-nitro-notebook-original-imaezmahkpjztqht.jpeg?q=70
"
83,1 TB,Aspire,E5 - 575,Linux,Intel,7th Gen,Core i5,8 GB,15.6 inch,"rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6hhvvg2ph.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8t35ow0/computer/2/3/r/acer-aspire-laptop-original-imaeynw6wyseb4ub.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j8osu4w0-1/computer/2/3/r/acer-aspire-laptop-original-imaeynw6djuagwme.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaetwaahchgydht.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7f2qvk0/computer/z/h/c/acer-na-laptop-original-imaev4wxyycqznfk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/j7usl8w0/computer/z/h/c/acer-na-laptop-original-imaexwvp9yp5hchy.jpeg?q=70
"
